artist,album,release_date,track_name,track_number,duration_ms,duration_minutes,release_year
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Intro-Iude,1,63304,1.06,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Creep,2,268533,4.48,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Kick Your Game,3,254133,4.24,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Diggin' On You,4,254560,4.24,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Case of the Fake People,5,244600,4.08,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,CrazySexyCool-Interlude,6,102173,1.7,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Red Light Special,7,303960,5.07,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Waterfalls,8,280496,4.67,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Intermission-lude,9,42693,0.71,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Let's Do it Again,10,256493,4.27,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,If I Was Your Girlfriend,11,276733,4.61,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Sexy-Interlude,12,94866,1.58,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Take Our Time,13,274000,4.57,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Can I Get a Witness-Interlude,14,177066,2.95,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Switch,15,210533,3.51,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Sumthin' Wicked This Way Comes,16,268200,4.47,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Creep - Pessto Radio Remix,17,188274,3.14,2024.0
TLC,CrazySexyCool (30th Anniversary Edition),2024-11-15,Waterfalls - DE SOFFER Official Remix,18,237966,3.97,2024.0
TLC,TLC,2017-06-30,No Introduction,1,182703,3.05,2017.0
TLC,TLC,2017-06-30,Way Back,2,226804,3.78,2017.0
TLC,TLC,2017-06-30,It's Sunny,3,203495,3.39,2017.0
TLC,TLC,2017-06-30,Haters,4,160400,2.67,2017.0
TLC,TLC,2017-06-30,Perfect Girls,5,185317,3.09,2017.0
TLC,TLC,2017-06-30,Interlude,6,71433,1.19,2017.0
TLC,TLC,2017-06-30,Start a Fire,7,242980,4.05,2017.0
TLC,TLC,2017-06-30,American Gold,8,218980,3.65,2017.0
TLC,TLC,2017-06-30,Scandalous,9,212536,3.54,2017.0
TLC,TLC,2017-06-30,Aye Muthafucka,10,196141,3.27,2017.0
TLC,TLC,2017-06-30,Joy Ride,11,258048,4.3,2017.0
TLC,TLC,2017-06-30,Way Back (Extended Version),12,266222,4.44,2017.0
TLC,3D,2002-10-10,3D Intro,1,144960,2.42,2002.0
TLC,3D,2002-10-10,Quickie,2,259240,4.32,2002.0
TLC,3D,2002-10-10,Girl Talk - Radio Mix,3,214760,3.58,2002.0
TLC,3D,2002-10-10,Turntable,4,205466,3.42,2002.0
TLC,3D,2002-10-10,In Your Arms Tonight,5,264640,4.41,2002.0
TLC,3D,2002-10-10,Over Me,6,257200,4.29,2002.0
TLC,3D,2002-10-10,Hands Up,7,228693,3.81,2002.0
TLC,3D,2002-10-10,Damaged,8,231373,3.86,2002.0
TLC,3D,2002-10-10,"Dirty, Dirty",9,220026,3.67,2002.0
TLC,3D,2002-10-10,So So Dumb,10,245733,4.1,2002.0
TLC,3D,2002-10-10,Good Love,11,252306,4.21,2002.0
TLC,3D,2002-10-10,Hey Hey Hey Hey,12,245266,4.09,2002.0
TLC,3D,2002-10-10,Give It to Me While It's Hot,13,208026,3.47,2002.0
TLC,Fanmail,1999-02-23,FanMail,1,239333,3.99,1999.0
TLC,Fanmail,1999-02-23,The Vic-E Interpretation - Interlude - Dirty Version,2,18973,0.32,1999.0
TLC,Fanmail,1999-02-23,Silly Ho,3,255160,4.25,1999.0
TLC,Fanmail,1999-02-23,Whispering Playa - Interlude,4,52066,0.87,1999.0
TLC,Fanmail,1999-02-23,No Scrubs,5,214440,3.57,1999.0
TLC,Fanmail,1999-02-23,I'm Good at Being Bad,6,277693,4.63,1999.0
TLC,Fanmail,1999-02-23,If They Knew,7,244200,4.07,1999.0
TLC,Fanmail,1999-02-23,I Miss You So Much,8,296600,4.94,1999.0
TLC,Fanmail,1999-02-23,Unpretty,9,278000,4.63,1999.0
TLC,Fanmail,1999-02-23,My Life,10,241800,4.03,1999.0
TLC,Fanmail,1999-02-23,Shout,11,237640,3.96,1999.0
TLC,Fanmail,1999-02-23,Come On Down,12,257266,4.29,1999.0
TLC,Fanmail,1999-02-23,Dear Lie,13,310760,5.18,1999.0
TLC,Fanmail,1999-02-23,Communicate - Interlude,14,51733,0.86,1999.0
TLC,Fanmail,1999-02-23,Lovesick,15,232933,3.88,1999.0
TLC,Fanmail,1999-02-23,Automatic,16,271400,4.52,1999.0
TLC,Fanmail,1999-02-23,Don't Pull Out on Me Yet,17,273533,4.56,1999.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Intro,1,30866,0.51,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Ain't 2 Proud 2 Beg,2,336560,5.61,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Shock Dat Monkey,3,308573,5.14,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Intermission I,4,19199,0.32,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Hat 2 da Back,5,256426,4.27,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Das Da Way We Like 'Em,6,301733,5.03,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,What About Your Friends,7,293600,4.89,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,His Story,8,263000,4.38,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Intermission II,9,59666,0.99,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Bad By Myself,10,235933,3.93,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Somethin' You Wanna Know,11,342440,5.71,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Baby-Baby-Baby,12,315040,5.25,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,This Is How It Should Be Done,13,267933,4.47,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Depend on Myself,14,251066,4.18,1992.0
TLC,Ooooooohhh... On The TLC Tip,1992-02-25,Conclusion,15,49000,0.82,1992.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,God Bless the Child (Intro),1,74698,1.24,2026.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,I Wanna Be Where You Are,2,243095,4.05,2026.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Sunshine,3,291085,4.85,2026.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Say It Ain't So,4,233964,3.9,2026.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Boy I Want You,5,220078,3.67,2026.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,Girls Tyme Fun,6,228000,3.8,2026.0
Destiny's Child,Destiny's Child: The Untold Story Presents Girls Tyme,2026-03-06,632-5792,7,268794,4.48,2026.0
